text,label
אתה שחקן כזה גרוע עדיף שתמחק את המשחק,toxic
מי שאל אותך בכלל יא חופר,toxic
הלוואי שיפרצו לך לחשבון,toxic
את כזאת פתטית שזה מביך,toxic
יצור דוחה תעוף מפה,toxic
אין לך חברים כולם שונאים אותך,toxic
סתם אפס שמחפש תשומת לב,toxic
תמות יא חתיכת זבל,toxic
כמה טיפש בן אדם אחד יכול להיות,toxic
הציור שלך נראה כמו פח אשפה,toxic
אל תגיב לי יותר יא חסר חיים,toxic
איזה משחק מטורף היה היום!,clean
תודה רבה אחי עזרת לי מאוד,clean
שיר פשוט מושלם חורש עליו כל היום,clean
מישהו יודע מה היו השיעורים באנגלית?,clean
ואוו התמונה הזאת מהממת,clean
"שיהיה סופ""ש מדהים ורגוע לכולם",clean
אל תדאג יהיה בסדר אנחנו איתך,clean
איזה שחקן נשמה אתה,clean
ממש אהבתי את הסטרימינג של אתמול,clean
מת על הערוץ שלך תמשיך ככה,clean
יש למישהו שרת מיינקראפט טוב להמליץ?,clean
היי כולם חדש פה בקהילה,clean
כל הכבוד על ההשקעה בסרטון,clean
איזה כלב חמוד!,clean
מי בא לסיבוב נוסף?,clean
איזה נוב אתה,toxic
מי נתן לך רישיון יא חתיכת מפגר,toxic
אתה פשוט בושה למשפחה שלך,toxic
אל תדבר איתי יותר בחיים יא דוחה,toxic
מכוערת ברמות,toxic
איזה קרינג' אתה,toxic
אף אחד לא אוהב אותך פה תבין את זה,toxic
אתה כל כך גרוע שזה פשוט עצוב,toxic
סתמי ת'פה שלך יא חופרת,toxic
למה אתה חי בכלל,toxic
אתה נראה כמו הצרות שלי,toxic
הלוואי ותקבל באן לכל החיים,toxic
תמצא חיים יא חתיכת מסכן,toxic
איך אפשר להיות כל כך סתום?,toxic
אל תעלה יותר סרטונים אתה מביך את עצמך,toxic
וואו איזה ביצוע מטורף!,clean
תגיד,clean
שולח לך חיבוק גדול,clean
אפשר קישור לשיר שמתנגן ברקע?,clean
היה ממש כיף לשחק איתך היום,clean
תודה על ההמלצה אני אבדוק את זה,clean
בהצלחה בראיון עבודה מחר!,clean
איזה מתכון שווה חייב לנסות,clean
תמונת פרופיל פגז אחי,clean
מישהו יודע אם יורד גשם מחר?,clean
הייתי שמח לעזור אבל אני לא מבין בזה,clean
אל תוותר אתה בדרך הנכונה,clean
סרטון מרגש ממש עשה לי את היום,clean
איזה חיוך יפה יש לך,clean
תמשיך ליצור תוכן כזה מדהים,clean
חחחח איזה מביך אתה,toxic
מי שאל אותך בכלל?,toxic
תמחוק את התגובה יא חתיכת אפס,toxic
יואו אתה כזה גרוע תפרוש,toxic
למה אתה מעלה תוכן כזה דפוק,toxic
אל תענה לי בכלל יא יצור,toxic
נראה כאילו ציירת את זה עם הרגליים,toxic
איזה קול של ילד בן 2 יש לך,toxic
תעשו עליו ריפורט כולם,toxic
אתה פשוט בזבוז של זמן,toxic
שמנה רצח תעשי דיאטה,toxic
כל הסרטונים שלך זה העתקה,toxic
אף אחד לא באמת חבר שלך,toxic
איזה מכוער אלוהים ישמור,toxic
סתם מחפש לייקים על חשבון אחרים,toxic
היי,clean
וואו,clean
תודה על השיתוף,clean
מזל טוב על ה-1000 סאבים!,clean
איזה כיף לראות תוכן כזה איכותי,clean
מישהו רוצה לעשות לייב ביחד?,clean
אחלה עריכה,clean
תעשה טובה ותיעלם מהרשת,toxic
איזה מכוערת,toxic
אתה הסטרימר הכי גרוע שראיתי,toxic
יאללה יאללה מי שומע אותך בכלל,toxic
אל תגיב לי יותר,toxic
כמה שטויות בן אדם אחד יכול לפלוט,toxic
אתה פשוט בדיחה מהלכת,toxic
תחזור לחור שממנו יצאת,toxic
מביך לראות איך אתה מתחנן ללייקים,toxic
אין לך טיפת כישרון,toxic
ילד מושפל,toxic
הלוואי שהערוץ שלך יימחק היום,toxic
סתם אפס מאופס,toxic
אל תנסה להצחיק,toxic
אתה נראה כמו צרות צרורות,toxic
חחחחח נדר אחי הרגת אותי,clean
וואו איזה ביצוע מטורף,clean
מישהו יודע איך קוראים לשיר ברקע?,clean
תודה רבה על כל העזרה שלך,clean
איזה גבר אתה,clean
מתי הלייב הבא? מחכה לזה,clean
יש לך סטייל ממש מיוחד,clean
שיהיה לך יום מוצלח ומלא בבשורות טובות,clean
איזה כיף לראות את ההתקדמות שלך,clean
מישהו רוצה להצטרף לקבוצה שלנו?,clean
איזה מכוער מה נראה לך שהעלית את זה,toxic
יא חתיכת אפס מאופס תמחוק ת'חשבון,toxic
אל תגיב פה יותר יא יצור דוחה,toxic
הלוואי שיפרצו לך ללייב וימחקו הכל,toxic
כמה טימטום יש בבן אדם אחד,toxic
למה נראה לך שזה מעניין מישהו יא חופר,toxic
תעשה טובה לאנושות ותמחק תערוץ,toxic
איזה מכוער רצח מה זה הפרצוף הזה,toxic
אתה שחקן פח עדיף שתפרוש לדוקים,toxic
כולם צוחקים עליך מאחורי הגב יא מסכן,toxic
חחחח איזה דפוק אתה באלוהים,toxic
אל תנסה להיות מצחיק זה פשוט מביך,toxic
מי הביא אותך לפה בכלל יא יצור,toxic
הלוואי שתקבל באן מהמשחק לתמיד,toxic
אתה מדבר שטויות במיץ עדיף שתשתוק,toxic
איכס איזה סרטון מגעיל לא לצפות,toxic
ילד כאפות נשאר ילד כאפות,toxic
תחזור ללמוד בכיתה א יא אנאלפבית,toxic
אף אחד לא סובל תדיבור שלך,toxic
יואו איזה קרינג' ברמות קשות,toxic
ואוו איזה גול מטורף הבאת!,clean
תגידו יש למישהו קישור לדיסקורד?,clean
אחלה גבר תודה על העזרה אתמול,clean
חחחחחחחחחחחחחחחחחחחחחחחח מתתי,clean
איזה כיף לראות תוכן כזה איכותי ביוטיוב,clean
תודה על המדריך זה באמת עזר לי מאוד,clean
שיהיה לכולם המשך יום לימודים פורה,clean
מזל טוב על הסאב ה-100 מגיע לך!,clean
אפשר לשאול מאיפה קנית את המקלדת?,clean
אתה פשוט מלך תמשיך להעלות סרטונים,clean
Lmao איזה פדיחות אתה עושה לעצמך,toxic
U r so bad at this עדיף שתפרוש,toxic
No one cares about you יא צומי,toxic
לך תבכה לאמא יא תינוק,toxic
כולם בשרת עושים עליך Mute,toxic
תעשה לכולנו טובה ופשוט תשתוק,toxic
חבל שנולדת בכלל יא חתיכת יצור,toxic
נראה לי ששכחת לקחת כדורים הבוקר,toxic
אתה הדבר הכי מיותר שראיתי באינטרנט,toxic
מי שואל אותך יא ילד מושפל,toxic
תחזור לחור שממנו יצאת יא אפס,toxic
כמה לייקים אתה קונה בשביל להרגיש חשוב?,toxic
אל תנסה לשיר זה נשמע כמו חתול דרוס,toxic
אף אחד לא באמת חבר שלך בשרת הזה,toxic
איזה מכוער רצח מה זה הלבוש הזה,toxic
אתה פשוט בדיחה גרועה,toxic
מביך לראות כמה אתה מתאמץ להיות מגניב,toxic
אל תגיב לי יותר יא חסר חיים,toxic
הלוואי שהערוץ שלך ייחסם עוד היום,toxic
אתה פשוט כישלון מהלך,toxic
יואו אחי הסרטון הזה פשוט אש!,clean
איזה מטורף הגול הזה! לא מאמין,clean
חחחחחח הרגת אותי מצחוק נדר,clean
תודה רבה על העזרה אתה באמת גבר,clean
מישהו יודע מתי יוצא העדכון החדש?,clean
שיהיה לכולם יום קסום ומלא חיוכים,clean
אני ממש אוהב את הקהילה שבנית פה,clean
כל הכבוד על האומץ להגיד את זה,clean
וואו הציור הזה נראה פשוט מדהים,clean
מי רוצה להצטרף לשרת דיסקורד שלי?,clean
ישמן,toxic
איזה מכוער אתה 🤮,toxic
חחחחח יא ליצן מי שואל אותך בכלל 🤡,toxic
אל תעלה יותר סרטונים בחיים זה מביך,toxic
שתוק שתוק יא חתיכת יצור דוחה,toxic
הלוואי שתקבל באן מהשרת לצמיתות,toxic
אתה פשוט בזבוז של חמצן,toxic
עוד סרטון משעמם של בן אדם משעמם,toxic
תחזור ללול יא נוב אפס,toxic
אין לך חברים בגלל זה אתה כל היום מול המחשב,toxic
איכס מה זה הפרצוף הזה בא לי להקיא,toxic
ילד כאפות נשאר ילד כאפות 💀,toxic
אף אחד לא אוהב את מה שאתה עושה פה,toxic
תעוף לנו מהעיניים יא חתיכת זבל,toxic
אתה פשוט כישלון אחד גדול,toxic
מביך לראות כמה אתה מתאמץ ויוצא לך פח,toxic
וואו איזה ביצוע מטורף אחי! 🔥,clean
חחחחח הרגת אותי מצחוק יא מלך 😂,clean
תודה על העזרה בשרת באמת גבר,clean
מישהו רוצה לעשות דואו בפורטנייט?,clean
איזה כיף לראות תוכן כזה מושקע,clean
מזל טוב על ההישג החדש מגיע לך,clean
יש למישהו המלצה למשחק טוב?,clean
בהצלחה לכולם בבחינות השבוע!,clean
אחלה עריכה באיזה תוכנה השתמשת?,clean
וואי איזה ציור יפה יש לך כישרון,clean
תודה רבה על הטיפים זה עזר לי בטירוף,clean
שיהיה לכולם יום מדהים ומלא חיוכים ✨,clean
איזה כלב חמוד בתמונה!,clean
כיף שיש קהילה כזאת תומכת,clean
תעשה טובה ותחסוך מאיתנו את הפרצוף שלך,toxic
נראה לי שכולם פה רק מרחמים עליך,toxic
מי שואל אותך יא יצור מוזר,toxic
אתה פשוט לא רלוונטי יותר תבין את זה,toxic
איזה מכוערת,toxic
עדיף שתשב בשקט לפני שתעשה עוד פדיחות,toxic
אתה הילד הכי שנוא בבית ספר וכולם יודעים את זה,toxic
חחחחח איזה פתטי אתה זה כואב בעיניים,toxic
תמחוק ת'סרטון הזה יא חתיכת אפס,toxic
אף אחד לא באמת צוחק מהבדיחות שלך,toxic
הלוואי שתקבל הרחקה מהאינטרנט לתמיד,toxic
תחזור לחור שממנו יצאת יא מסכן,toxic
כמה אתה חופר,toxic
איכס,toxic
אתה פשוט כישלון וזה לא הולך להשתנות,toxic
וואו,clean
מישהו יודע איפה אפשר למצוא את המדריך?,clean
תודה על המילים החמות,clean
אחלה וייב יש לסטרימינג שלך היום,clean
מזל טוב על הניצחון! הייתם גדולים,clean
מי בא לסיבוב נוסף בשרת?,clean
היי,clean
איזה כיף לראות את הקהילה הזאת גדלה,clean
כל הכבוד על ההשקעה בפרטים הקטנים,clean
אני ממש אוהב את הדרך שבה אתה חושב,clean
מישהו רוצה עזרה עם המשימה של היום?,clean
תודה רבה על השיתוף,clean
שיהיה לכולם ערב שקט ומהנה,clean
איזה חיוך יפה,clean
כיף לראות תוכן חיובי כזה בפיד,clean
איזה חכמולוג,toxic
נראה לי שה-IQ שלך ברצפה,toxic
אל תנסה לחשוב,toxic
יואו איזה יצור,toxic
עדיף שתשב בשקט ותראה יפה,toxic
מביך לראות איך אתה מנסה להרשים פה אנשים,toxic
אתה פשוט בדיחה שלא מצחיקה אף אחד,toxic
תחזור לחור שממנו זחלת,toxic
איזה סרטון מיותר,toxic
חחחחח מה זה הפרצוף הזה? מפחיד ילדים,toxic
אתה כישלון מהלך וכולם פה יודעים את זה,toxic
תעשה טובה,clean
מישהו ביקש את דעתך? לא נראה לי,toxic
יא חתיכת אפס,toxic
איכס,toxic
יואו יא מניאק איך לקחת את הגול הזה!!,clean
אחי אתה מפחיד רצח עם הכישרון שלך,clean
זה היה פשוט מטורף,clean
חחחחחח נדר אחי אתה חולה נפש (במובן המצחיק),clean
איזה ביצוע אש,clean
וואי המשחק הזה מפחיד רצח,clean
תודה רבה גבר,clean
איזה שחקן מלוכלך אתה (במובן של שחקן טוב),clean
מזל טוב מלך,clean
יש מצב לעזרה קטנה בשרת? תודה מראש,clean
וואו,clean
מי בא לסיבוב נוסף? היה אש,clean
כל הכבוד על האומץ להגיד את זה!,clean
איזה כיף שיש אנשים כמוך בקהילה הזאת,clean
מחכה כבר לסרטון הבא,clean
תגיד איך אתה לא מתבייש להראות את הפרצוף שלך בכלל,toxic
אף אחד לא באמת חבר שלך כולם רק מרחמים עליך,toxic
ילד מושפל לך תבכה לאמא שלך יא תינוק,toxic
יואו אתה כזה עלוב שזה פשוט עצוב לראות,toxic
תמחק את החשבון ותחסוך מאיתנו את הקרינג' הזה,toxic
אל תבוא למפגש מחר אף אחד לא רוצה אותך שם,toxic
נראה לי ששכחת להסתכל במראה הבוקר יא מכוער,toxic
אתה הדבר הכי מיותר שקרה לשרת הזה,toxic
כולם בבית ספר צוחקים עליך מאחורי הגב,toxic
איזה יצור דוחה איך אפשר בכלל להסתכל עליך,toxic
פשוט תפרוש מהחיים אתה לא מצליח בכלום,toxic
מזל שיש כפתור חסימה כדי לא לראות את הטימטום שלך,toxic
בגלל זה אין לך חברים ואתה תמיד לבד,toxic
אתה נראה כמו טעות של הטבע,toxic
עדיף שתשב בשקט כי כל מילה שלך רק מביכה אותך יותר,toxic
אל תתייחס אליהם אתה תותח ואנחנו איתך,clean
איזה יופי של התקדמות עשית כל הכבוד!,clean
אני ממש אוהב את הביטחון העצמי שלך זה השראה,clean
תודה ששיתפת את זה זה בטח לא היה קל,clean
מישהו רוצה להצטרף אלינו למשחק? יש מקום,clean
כל הכבוד על האומץ לעמוד על שלך,clean
אתה בן אדם מדהים ואל תיתן לאף אחד להוריד לך,clean
איזה חיוך יפה יש לך בתמונה הזאת!,clean
ממש אהבתי את הדרך שבה עזרת לו שם,clean
שיהיה לכולם יום מלא באהבה ובשורות טובות,clean
מזל טוב על ההישג החדש מגיע לך בגדול,clean
יש לך לב זהב ואנשים פה מעריכים אותך,clean
תודה רבה על העזרה שלך באמת שינית לי את היום,clean
איזה כיף לראות כמה השקעת בזה,clean
אל תוותר על החלום שלך אתה בדרך הנכונה,clean
אל תתייחס אליו הוא סתם מחפש תשומת לב,toxic
תראו איך הוא נראה אני מת איזה יצור,toxic
חחחחח בואו נעשה עליו ריפורט כולם שיעוף מפה,toxic
איזה מכוערת באלוהים תעשי טובה תשימי מסיכה,toxic
מישהו באמת חושב שאתה מעניין? רחמים עליך,toxic
ילד כאפות היית וילד כאפות תישאר,toxic
בגלל זה אף אחד לא מזמין אותך לשום מקום,toxic
תעוף מהקבוצה יא מעפן אף אחד לא רוצה אותך פה,toxic
הלוואי שיפרצו לך לטלפון וימחקו הכל,toxic
מביך לראות כמה אתה מנסה להיות חלק מאיתנו,toxic
יואו איזה סתומה היא אני לא מאמין שהיא אמרה את זה,toxic
עדיף שתשב בשקט לפני שתעשה לעצמך עוד פדיחות,toxic
איזה גוף מגעיל יש לך תתחילי להתאמן,toxic
בואו נפתח קבוצה בלעדיו הוא סתם חופר,toxic
אתה אפס מאופס ולא יצא ממך כלום בחיים,toxic
אל תקשיב להם אתה מוכשר בטירוף!,clean
וואו איזה ביטחון עצמי מדהים יש לך,clean
אני פה לכל דבר שאתה צריך אל תהסס,clean
ממש אהבתי את הסטייל שלך בתמונה,clean
כל הכבוד על זה שאתה לא נגרר אחריהם,clean
תודה ששיתפת את התחושות שלך זה מחזק אחרים,clean
איזה כיף לראות את החיוך שלך!,clean
מי רוצה להצטרף אלינו לשיחה בדיסקורד?,clean
אחלה סרטון רואים שהשקעת המון זמן,clean
תודה רבה על העזרה שלך בשרת אתמול,clean
מזל טוב על ההצלחה מגיע לך הכי בעולם,clean
יש לך לב ענק ורואים את זה בכל מה שאתה עושה,clean
בואו נהיה נחמדים אחד לשני זה רק משחק,clean
איזה יופי של ציור יש לך כישרון נדיר,clean
אני ממש מעריך את זה שאתה תמיד עוזר לחדשים,clean
תראו איך הוא נעלב,toxic
בואו נצא מהקבוצה ונפתח אחת חדשה בלעדיה,toxic
מה נסגר עם הפרצוף שלך? נראה כאילו עברת תאונה,toxic
תפסיק לנסות להצחיק,toxic
אף אחד לא מקשיב לך,toxic
איזה שמנה,toxic
חחחחח הוא חושב שהוא מבין משהו,toxic
עדיף שתשאר על מיוט לנצח,toxic
מי שאל אותך בכלל? תלמד את המקום שלך,toxic
איכס,toxic
אתה פשוט אפס,toxic
תמחקי את התמונה הזאת,clean
הלוואי שתתעורר מחר בלי שום עוקב,toxic
תראו אותו,clean
אתה הכישלון הכי גדול שהשרת הזה ידע,toxic
אל תקשיב להם,clean
אני פה אם אתה צריך לפרוק או לדבר,clean
וואו,clean
ממש אהבתי את התגובה שלך,clean
מישהו רוצה ללמוד איתי למבחן מחר?,clean
תודה רבה על התמיכה,clean
איזה כיף לראות כמה הקהילה פה מפרגנת,clean
יש לך כישרון מטורף,clean
אחלה סרטון,clean
מזל טוב על עליית הרמה! שחקן תותח,clean
שיהיה לכולם שבוע רגוע ומלא בחיוכים,clean
אני ממש מעריך את זה שאתה תמיד פה בשביל כולם,clean
איזה כלב מתוק,clean
כל הכבוד על הסבלנות,clean
תודה על ההמלצה,clean
אל תדבר איתי בכלל יא חתיכת יצור דוחה,toxic
תראו אותו חושב שהוא מבין משהו יא דפוק,toxic
מי שואל אותך יא ילד מושפל תעוף מהקבוצה,toxic
איכס מה זה הפרצוף הזה באמת מביך,toxic
אף אחד לא סובל אותך פה כולם רק עושים לך הצגות,toxic
תמחוק ת'חשבון שלך ותעשה לכולנו טובה,toxic
הלוואי שתקבל באן מהחיים יא אפס מאופס,toxic
יואו איזה קרינג' אתה בא לי להקיא ממך,toxic
אתה הכישלון הכי גדול שראיתי בחיים שלי,toxic
סתמי ת'פה יא חופרת מי מקשיב לך בכלל,toxic
תראו איך הוא נראה אני מת איזה יצור,toxic
בגלל זה אין לך חברים ואתה כל היום במחשב,toxic
אל תנסה להצחיק יא מעפן זה לא הולך לך,toxic
כולם עושים עליך מיוט כי אתה רק מזיין ת'מוח,toxic
אתה פשוט בדיחה מהלכת וכולם צוחקים עליך,toxic
מישהו יודע מה השעה של האימון היום?,clean
אני הולך רגע לאכול וחוזר לשרת,clean
מה קורה חברים איך עבר היום שלכם?,clean
יש למישהו מושג איך פותרים את התרגיל הזה?,clean
אני מחכה כבר שהמשחק החדש ייצא,clean
מישהו ראה את המפתח שלי במקרה?,clean
אני חושב שהשרת קצת איטי היום,clean
הייתי בים והיה ממש כיף,clean
איפה כולם? אף אחד לא עונה בצ'אט,clean
אני מעדיף את הגרסה הישנה של האפליקציה,clean
יש מצב שמישהו שולח לי את הקישור שוב?,clean
אני הולך לישון,clean
מי בא לסיבוב קצר לפני שהולכים?,clean
מתי המורה אמרה שצריך להגיש את העבודה?,clean
אני לא כל כך מבין בזה אבל אני אנסה לעזור,clean
אל תדבר איתי בכלל יא חתיכת יצור דוחה,toxic
תראו אותו חושב שהוא מבין משהו יא דפוק,toxic
מי שאל אותך יא ילד מושפל תעוף מהקבוצה,toxic
איכס מה זה הפרצוף הזה באמת מביך,toxic
אף אחד לא סובל אותך פה כולם רק עושים לך הצגות,toxic
תמחוק ת'חשבון שלך ותעשה לכולנו טובה,toxic
הלוואי שתקבל באן מהחיים יא אפס מאופס,toxic
יואו איזה קרינג' אתה בא לי להקיא ממך,toxic
אתה הכישלון הכי גדול שראיתי בחיים שלי,toxic
סתמי ת'פה יא חופרת מי מקשיב לך בכלל,toxic
תראו איך הוא נראה אני מת איזה יצור,toxic
בגלל זה אין לך חברים ואתה כל היום במחשב,toxic
אל תנסה להצחיק יא מעפן זה לא הולך לך,toxic
כולם עושים עליך מיוט כי אתה רק מזיין ת'מוח,toxic
אתה פשוט בדיחה מהלכת וכולם צוחקים עליך,toxic
מישהו יודע איזה ספר צריך להביא מחר?,clean
אני הולך רגע לאכול וחוזר לשרת,clean
מה קורה חברים איך עבר היום שלכם?,clean
יש למישהו מושג איך פותרים את התרגיל הזה?,clean
אני מחכה כבר שהמשחק החדש ייצא,clean
מישהו ראה את המפתח שלי במקרה?,clean
אני חושב שהשרת קצת איטי היום,clean
הייתי בים והיה ממש כיף,clean
איפה כולם? אף אחד לא עונה בצ'אט,clean
אני מעדיף את הגרסה הישנה של האפליקציה,clean
יש מצב שמישהו שולח לי את הקישור שוב?,clean
אני הולך לישון לילה טוב לכולם,clean
מי בא לסיבוב קצר לפני שהולכים?,clean
מתי המורה אמרה שצריך להגיש את העבודה?,clean
אתה פשוט בדיחה אחת גדולה וכולם צוחקים עליך,toxic
אתה פשוט בדיחה אחת גדולה וכולם צוחקים עליך,toxic
מי שאל אותך בכלל? תלמד לסתום ת'פה,toxic
מביך לראות כמה שאתה גרוע בזה תפרוש כבר,toxic
איזה מכוער באמת עדיף שלא היית מעלה תמונה,toxic
אין לך שכל אין דאגות אה? יא חתיכת מפגר,toxic
הלוואי שיפרצו לך לחשבון וימחקו הכל,toxic
יואו איזה קרינג' אתה בא לי למות מהסרטון הזה,toxic
אף אחד לא רוצה אותך פה תבין את זה לבד,toxic
אתה אפס ותמיד תישאר אפס יא מסכן,toxic
סתמי ת'פה שלך יא חופרת מישהו שומע אותך בכלל?,toxic
תראו אותו חושב שהוא מלך והוא סתם ליצן,toxic
ילד מושפל לך תבכה לאמא יא תינוק,toxic
איכס מה זה הפרצוף הזה? דוחה רצח,toxic
תעוף מהקבוצה לפני שנעשה עליך חרם,toxic
מזל שיש כפתור חסימה כדי לא לראות את הטימטום שלך,toxic
אני לא מסכים איתך בכלל לדעתי זה ממש לא נכון,clean
היי,clean
היה משחק קשה אבל נתנו הכל,clean
אני חושב שהסרטון הקודם היה יותר טוב מזה,clean
יש למישהו המלצה לסרט טוב לראות הערב?,clean
אני מצטער אבל אני לא יכול לעזור בזה כרגע,clean
מה דעתכם על העדכון החדש שיצא למשחק?,clean
אני הולך לסיבוב עם הכלב,clean
תקשיב,clean
איפה אפשר לקנות את המקלדת הזאת?,clean
סליחה,clean
מישהו יודע אם יש שיעורי בית למחר?,clean
אני פשוט חושב שאנחנו צריכים לנסות דרך אחרת,clean
היה ממש נחמד לפגוש אתכם היום,clean
תודה על ההסבר,clean
תעשה טובה לכולם ופשוט תיעלם מהעולם הזה,toxic
איזה מכוערת באלוהים איך יש לך אומץ להצטלם ככה,toxic
אתה הדבר הכי כושל שראיתי בחיים שלי,toxic
יואו איזה סתומה את זה לא אמיתי,toxic
בואו נעשה עליו חרם כולם לצאת מהקבוצה עכשיו,toxic
מי שאל אותך בכלל יא חתיכת יצור דוחה,toxic
אתה אפס ותמיד תישאר אפס תשלים עם זה,toxic
מביך לראות כמה שאתה גרוע תפרוש מהמשחק,toxic
אל תגיב פה יותר יא ילד כאפות מושפל,toxic
הלוואי שהמחשב שלך יישרף יא זבל,toxic
אתה פשוט בדיחה גרועה ואף אחד לא אוהב אותך,toxic
תסתכל במראה ותבין למה אין לך חברים,toxic
איכס מה זה הקול המעצבן הזה תשתוק כבר,toxic
מגיע לך כל מה שקורה לך יא מסכן,toxic
כל הסרטונים שלך זה זבל אחד גדול,toxic
מישהו יודע איפה המורה למתמטיקה?,clean
אני לא מסכים איתך אבל מכבד את הדעה שלך,clean
יש מצב שמישהו שולח לי הזמנה לשרת?,clean
חחחחחחחחחחח אחי הרגת אותי מצחוק,clean
אני הולך רגע לעזור לאמא שלי אהיה פה עוד מעט,clean
איזה יופי של ציור ממש השתפרת!,clean
מי רוצה לעשות סיבוב בפורטנייט?,clean
שיהיה לכולם יום שקט ומהנה,clean
אני חושב שהעדכון החדש ממש סבבה,clean
תודה רבה על העזרה עם הקישור,clean
מזל טוב על הסאב ה-500 יא תותח!,clean
אפשר לשאול באיזה שעה המפגש מחר?,clean
כל הכבוד על ההשקעה רואים שזה לקח זמן,clean
אני פה אם מישהו צריך עזרה בשיעורים,clean
תעשה טובה לכולם ופשוט תיעלם מהעולם הזה,toxic
תראו איזה פדיחות הוא עושה לעצמו אני מת,toxic
אתה פשוט בזבוז של מקום בשרת הזה,toxic
איזה מכוערת באלוהים אל תעלי יותר סטורי,toxic
מישהו באמת חושב שאתה מצחיק? כולם צוחקים עליך,toxic
תעשי טובה ותסתמי ת'פה יא חופרת אחת,toxic
הלוואי שיפרצו לך לכל החשבונות ויימחקו הכל,toxic
מביך לראות כמה אתה מתאמץ להיות מקובל,toxic
אתה אפס מאופס ולא יצא ממך כלום בחיים,toxic
תעוף מפה יא יצור אף אחד לא רוצה אותך פה,toxic
חחחחח תראו את הפרצוף שלו איזה יצור דוחה,toxic
בגלל זה אין לך חברים ואתה תמיד לבד בבית,toxic
ילד כאפות נשאר ילד כאפות אין מה לעשות,toxic
אתה פשוט בדיחה שלא מצחיקה אף אחד,toxic
תמחק ת'ערוץ שלך יא מביך אתה עושה לי קרינג',toxic
אף אחד לא סובל אותך פה כולם רק עושים לך בכאילו,toxic
יש למישהו מושג איך מעלים את ה-FPS במשחק?,clean
אני הולך רגע לשתות מים וחוזר,clean
מישהו יודע מתי המבחן בהיסטוריה?,clean
תודה רבה על העזרה בשרת באמת גבר,clean
איזה כיף שהצטרפת אלינו למשחק היום,clean
אני חושב שהסרטון הזה יצא ממש איכותי,clean
יש מצב שמישהו שולח לי שוב את הקישור?,clean
בהצלחה לכל מי שיש לו מבחן מחר,clean
מה קורה חברים? איך עבר עליכם היום?,clean
אחלה עריכה באיזה תוכנה אתה משתמש?,clean
מישהו רוצה לעשות סקוואד בפורטנייט?,clean
אני פשוט חושב שאפשר לעשות את זה אחרת,clean
תודה על השיתוף זה ממש עזר לי להבין,clean
שיהיה לכולם המשך יום לימודים פורה,clean
שלום,clean
היי,clean
בוקר טוב,clean
טוב,clean
לא,clean
אקתון,clean
יפה,clean
מוצלח,clean
תומך,clean
מחבל,toxic
יחרא,toxic
היי גילוש יחרא מה שלומך?,toxic
אפס,toxic
זבל,toxic
יצור,toxic
מושפל,toxic
דוחה,toxic
מכוער,toxic
סתום,toxic
פח,toxic
לוזר,toxic
פתטי,toxic
מגעיל,toxic
קרינג',toxic
דפוק,toxic
חופר,toxic
נחות,toxic
תודה,clean
אלוף,clean
מדהים,clean
תותח,clean
עזרה,clean
בהצלחה,clean
אחלה,clean
גבר,clean
נחמד,clean
מוכשר,clean
חחח,clean
שבוע טוב,clean
יפה,clean
סבבה,clean
יופי,clean
